source,Li stoichiometry,La stoichiometry,Zr stoichiometry,Li site dopant stoichiometry,La site dopant stoichiometry,Zr site dopant stoichiometry,Relative density,Ionic conductivity,log_cond,Quality of ionic conductivity,Doping strategy,li_dopant,la_dopant,zr_dopant,Li site dopant crystal rad.,Li site dopant ion charge,Li site dopant electroneg.,Li site dopant molar mass,Li site dopant atomic number,Li site dopant e_ionisation,Li site dopant electron affinity,Li site dopant atomic radius,Li site dopant ionic radius,La site dopant crystal rad.,La site dopant ion charge,La site dopant electroneg.,La site dopant molar mass,La site dopant atomic number,La site dopant e_ionisation,La site dopant electron affinity,La site dopant atomic radius,La site dopant ionic radius,Zr site dopant crystal rad.,Zr site dopant ion charge,Zr site dopant electroneg.,Zr site dopant molar mass,Zr site dopant atomic number,Zr site dopant e_ionisation,Zr site dopant electron affinity,Zr site dopant atomic radius,Zr site dopant ionic radius
10.1063/1.5141764,6,3,1,0,0,1,84,1.2E-05,-4.920818754,0,Zr site,,,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,2.02,208.9804,83,7.25,90.924,143,76
10.1063/1.5141764,6.25,3,1.25,0,0,0.75,83,0.0002,-3.698970004,0,Zr site,,,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,2.02,208.9804,83,7.25,90.924,143,76
10.1063/1.5141764,6.5,3,1.5,0,0,0.5,81,7.2E-06,-5.142667504,0,Zr site,,,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,2.02,208.9804,83,7.25,90.924,143,76
10.1063/1.5141764,6.75,3,1.75,0,0,0.25,80,5E-06,-5.301029996,0,Zr site,,,Bi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,5,2.02,208.9804,83,7.25,90.924,143,76
10.1016/j.ssi.2014.10.009,7.1,3,1.9,0,0,0.1,,0.00024,-3.619788758,0,Zr site,,,Cr,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,75.5,3,1.66,51.9961,24,6.74,65.21,166,61.5
10.1016/j.electacta.2018.03.101,7.2,3,1.8,0,0,0.2,94,0.00023,-3.638272164,0,Zr site,,,Gd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107.8,3,1.2,157.2521,64,6.65,13.22,233,93.8
10.1016/j.ceramint.2018.01.065,7,3,1.6,0,0,0.4,86.9,4.4E-05,-4.356547324,0,Zr site,,,Ge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,4,2.01,72.6298,32,7.85,118.9352,125,53
10.1016/j.ceramint.2018.01.065,7,3,1.7,0,0,0.3,91.6,0.000478,-3.320572103,1,Zr site,,,Ge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,4,2.01,72.6298,32,7.85,118.9352,125,53
10.1016/j.ceramint.2018.01.065,7,3,1.8,0,0,0.2,89,0.000252,-3.598599459,0,Zr site,,,Ge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,4,2.01,72.6298,32,7.85,118.9352,125,53
10.1016/j.ceramint.2018.01.065,7,3,1.9,0,0,0.1,88.2,0.000149,-3.826813732,0,Zr site,,,Ge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,4,2.01,72.6298,32,7.85,118.9352,125,53
10.1111/jace.14736,6.4,3,1.7,0,0,0.3,91.3,0.000353,-3.452225295,1,Zr site,,,Mo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,2.16,95.9488,42,7.35,72.1,190,59
10.1007/978-3-319-52132-9_12,6.5,3,1.75,0,0,0.25,80.5,1.3E-06,-5.886056648,0,Zr site,,,Mo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,2.16,95.9488,42,7.35,72.1,190,59
10.1007/978-3-319-52132-9_12,6.5,3,1.75,0,0,0.25,87.1,1.74E-05,-4.759450752,0,Zr site,,,Mo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,2.16,95.9488,42,7.35,72.1,190,59
10.1007/978-3-319-52132-9_12,6.5,3,1.75,0,0,0.25,95.2,0.00013,-3.886056648,0,Zr site,,,Mo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,2.16,95.9488,42,7.35,72.1,190,59
10.1111/jace.14736,6.6,3,1.8,0,0,0.2,92.8,0.000509,-3.293282218,1,Zr site,,,Mo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,2.16,95.9488,42,7.35,72.1,190,59
10.1111/jace.14736,6.8,3,1.9,0,0,0.1,90.8,0.000246,-3.609064893,0,Zr site,,,Mo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,6,2.16,95.9488,42,7.35,72.1,190,59
10.1039/C9SE01162E,5.9,3,1.8,0.3,0,0.2,92.19,0.000372,-3.42945706,1,Combined,Ga,,Nb,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1039/C9SE01162E,6.05,3,1.8,0.25,0,0.2,91.77,0.000504,-3.297569464,1,Combined,Ga,,Nb,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1039/C9SE01162E,6.2,3,1.8,0.2,0,0.2,93.123,0.00072,-3.142667504,1,Combined,Ga,,Nb,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
10.1039/C9SE01162E,6.35,3,1.8,0.15,0,0.2,94.46,0.000739,-3.131355562,1,Combined,Ga,,Nb,61,3,1.81,69.723,31,5.97,29.061,136,62,0,0,0,0,0,0,0,0,0,78,5,1.6,92.9064,41,6.7589,88.516,198,64
